3,Брав на роботу для магазину комп'ютер, але виявилось що на нього неможливо поставити ОС Windows XP. Будьте обережні...,Переваги: В приципі нормальний офісний комп'ютер,Недоліки: Шув, не можливість поставити на нього операційну систему windows XP,

0,Для офисной работы-рекомендую. Зачем платить больше?,Переваги: Отличный офисный вариант за такие деньги.,Недоліки: На процессоре сэкономили, но это нельзя назвать особым недостатком, учитывая стоимость данного аппарата.,

0,Гта 5 потянет?,

0,СОМ порт є чи немає все ж таки ?,

5,Пацаны тянет World of tanks,

5,Скажу сразу потянет такие игри как кс 1.6 гта сан Андреас слипен догс калл оф дюти мв3,Переваги: Цена,Недоліки: Ещё не прикопался,

0,игры типа gta 5 или cs go потянет?,

0,КСГО Потянет?,

0,Закупили их в офис, 20 штук. Для несложных задач типо ворда и т.д с головой. Серифить в инетрнете тоже можно. Нормальная цена,

0,какой тут ссд диск стоит?,

3,Брав на роботу для магазину комп'ютер, але виявилось що на нього неможливо поставити ОС Windows XP. Будьте обережні...,Переваги: В приципі нормальний офісний комп'ютер,Недоліки: Шув, не можливість поставити на нього операційну систему windows XP,

0,Для офисной работы-рекомендую. Зачем платить больше?,Переваги: Отличный офисный вариант за такие деньги.,Недоліки: На процессоре сэкономили, но это нельзя назвать особым недостатком, учитывая стоимость данного аппарата.,

0,Гта 5 потянет?,

0,СОМ порт є чи немає все ж таки ?,

5,Пацаны тянет World of tanks,

5,Скажу сразу потянет такие игри как кс 1.6 гта сан Андреас слипен догс калл оф дюти мв3,Переваги: Цена,Недоліки: Ещё не прикопался,

0,игры типа gta 5 или cs go потянет?,

0,КСГО Потянет?,

0,Закупили их в офис, 20 штук. Для несложных задач типо ворда и т.д с головой. Серифить в инетрнете тоже можно. Нормальная цена,

0,какой тут ссд диск стоит?,

3,Хотелось бы что бы внимательнее относились к сборке, либо наняли профессионалов,Недоліки: При получении товара с системном блоке был болтик, системный блок застикерован, видимо при сборке плохо болтик прикрутили. Пришлось прибегать к очумелым ручкам что бы этот болт достать.,

0,А PES 17 потянет?,

0,варфейс потянет?,

0,Есть ли в этой модели SD/DVD ром?если нет,то можно ли его поставить?,

0,напишите пожалуйста можно ли поставить на него видеокарту?есть разьем pci expres?,

0,Так на этой модели есть CD/DVD привод?,

0,Такие игры как майнкрафт и самп, кс 1.6 будет тянуть нормально т.к у меня был ноутбук с такими же хар-ками только процессор был другой (хуже). кс го может на минималках на 50-70 фпс держать. А другие игры я уж не знаю, т.к особо в другие не играю,

0,потянет ворлд оф тенкс?,

3,Нічого особливого за таку ціну, але для батьків щоб полазити в неті достатньо, були проблеми з жорстким диском.,Переваги: Для інтернету достатньо,Недоліки: Були проблеми з жорстким диском,

0,А он в нутри пустой или нет,

5,Комп компактний і легкий. Встановив windows 7 ,поставив всі драйвери ,працює як часики.Для прогулянок по просторам інтернету,перегляду відео,легких іграшок більш ніж достатньо.Хто буде ставити windows 8.1 або 10 в комплектацію входять диски з драйверами для цих операційок,правда треба буде скопіювати їх на флешку . #мояраспаковка,Переваги: компактний ,шустрий,Недоліки: трошки шумний кулер блока живлення,

0,Яка материнка в ньому стоїть?,

0,такая игра как Euro Track Simulator 2 пойдёт хоть на минимальных?,

0,Какие игры будут на нем в 60 fps идти?,

5,Скіки відео памяті ?,

5,А скіки відео пам`яті,

0,Меня интересует видеокарта , она вообще присудствует? Для просмотра фильмов в качестве от 720р будет все хорошо?,

5,Он подойдьот для графики,

0,Який підійде до цього компа оптичний привід?,

0,А можно доустановить оптический привод и вставить дополнительный жесткий диск?,

4,Нормальный офисный вариант,Переваги: за свою цену вполне нормальный комп. радует наличие hdmi выхода на видеокарте. дает возможность подключить одновременно и монитор и телевизор.,Недоліки: шумный блок питания,

0,А подскажите пожалуйста. Какой мощности нужен ИБП к этому ПК? Сам блок питания здесь на 400 Вт, тоесть ИБП с выходной мощностью 600 ВА / 360 Вт не подходит?,

0,Есть жосткий диск?,

5,Какой виндов пойдет?,

0,Какая частота RAM? И почему на картинке нарисован CD\DVD привод, а в характеристиках его нет?,

0,Танки пойдут???,

0,Какой объем видеопамяти на этой видеокарте ?,

