0,Вопрос к представителю компании: есть ли у вас компьютеры с wifi?,

0,Для обработки фото и монтажа видео подойдёт или за ети деньги самому собрать?,

0,Добрый день! Диск с драйверами идет в комплекте?,

5,Хороший компьютер из проверенных временем комплектующих фирм Asus, Intel,Переваги: Качественные комплектующие Тихая работа кулеров Современный дизайн корпуса Скорость работы и молниеносная загрузка системы Windows 10,Недоліки: За 2 месяца использования, не обнаружил,

5,В цій моделі єHDMI,

5,В цій моделі є wi_fi,

4,GTA 5 на ультрах будет тянуть под 60 fps?,

0,Возможно ли при покупке установить вместо 8гб оперативки- 16гб? Если да-то сколько это будит стоить? Я хотел сам докупить 16 гб, 2 линейки HyperX по 8гб но производитель невнятно ответил касательно совместимости с данным ПК.,

0,1. WIFI будет с этим компьютером работать? 2. ГТА 5 на максимальных разрешениях хорошо работает?,

0,Ищу ПК для GTA 5,потянет на максималках?,

0,Вопрос к представителю компании: есть ли у вас компьютеры с wifi?,

0,Для обработки фото и монтажа видео подойдёт или за ети деньги самому собрать?,

0,Добрый день! Диск с драйверами идет в комплекте?,

5,Хороший компьютер из проверенных временем комплектующих фирм Asus, Intel,Переваги: Качественные комплектующие Тихая работа кулеров Современный дизайн корпуса Скорость работы и молниеносная загрузка системы Windows 10,Недоліки: За 2 месяца использования, не обнаружил,

5,В цій моделі єHDMI,

5,В цій моделі є wi_fi,

4,GTA 5 на ультрах будет тянуть под 60 fps?,

0,Возможно ли при покупке установить вместо 8гб оперативки- 16гб? Если да-то сколько это будит стоить? Я хотел сам докупить 16 гб, 2 линейки HyperX по 8гб но производитель невнятно ответил касательно совместимости с данным ПК.,

0,1. WIFI будет с этим компьютером работать? 2. ГТА 5 на максимальных разрешениях хорошо работает?,

0,Ищу ПК для GTA 5,потянет на максималках?,

0,а чи можна щоб ПК прибув з вибраним ОС?,

0,ПОДСКАЖИТЕ КАКАЯ КЛАВИАТУРА И МЫШЬ В ПОДАРОК . Я ХОЧУ У ВАС КУПИТЬ КОМПЬЮТЕР И МОНИТОР. МОЖНО ЛИ ИХ ВЫБРАТЬ .,

0,1. ПОДСКАЖИТЕ СТОЯТ ЛИ КУЛЕРА НА ВДУВАНИЕ И ВЫДУВАНИЕ ВОЗДУХА СПЕРЕДИ И СЗАДИ НУЖНО ЛИ ИХ ПОКУПАТЬ ИЛИ НЕТ НЕОБХОДИМОСТИ . 2. КАК КОНТРОЛИРУЕТСЯ ТЕМПЕРАТУРА И ЕСТЬ ЛИ ВИЗУАЛИЗАЦИЯ ИЗМЕРЕНИЯ .,

5,Купил еще один такой же компьютер. Пока в нем меня все устраивает. Очень хороший сервис от ArtLine. Столкнулся с проблемой, позвонил, все быстро решили.,Переваги: Считаю, что в своей комплектации он самый дешевый.,

0,Вопрос к производителю можноли поменять видео карту при покупке,

0,Как у него с охлаждением?,

0,Здесь есть HDMI?,

0,а какая материнка?,

0,Эта видеокарта поддерживает dx12?,

0,какая модель SSD?,

0,Скажите пожалуйста, какая модель SSD?,

5,Хороший компьютер, полностью стоит своих денег. Взял в рассрочку, понравилось что документы на почте были подготовлены и сложены сразу на подпись(естественно все прочитал).,

0,Есть ли возможность поставить сетевую карту с wifi? И можно ли будет это стелать самому, без потери гарантии?,

