5,Сколько будет стоить ОС 10, что б установить в розетке?,

0,А фіфа 17 піде ?,

5,Сколько фпс будет в доте2 на средних настройках. Очень надеюсь на ответ. Заранее спасибо,

5,А Наруто шторм 3 4 пойдёт?,

0,Fifa 17 піде?,

0,Можна ли поставить сюда дополнительную оперативку?,

0,Можете подсказать ксго на макс пойдёт?,

3,Можно ли заменить процессор на intel core i5?,

0,Возможно ли заменить прецессор на Intel core i7?,

0,Хочу купить, но не знаю какая видео карта лучше пойдёт для игр, эта или на http://hard.rozetka.com.ua/artline_home_h43v05/p7344964, подскажите какой выбрать?,

5,Сколько будет стоить ОС 10, что б установить в розетке?,

0,А фіфа 17 піде ?,

5,Сколько фпс будет в доте2 на средних настройках. Очень надеюсь на ответ. Заранее спасибо,

5,А Наруто шторм 3 4 пойдёт?,

0,Fifa 17 піде?,

0,Можна ли поставить сюда дополнительную оперативку?,

0,Можете подсказать ксго на макс пойдёт?,

3,Можно ли заменить процессор на intel core i5?,

0,Возможно ли заменить прецессор на Intel core i7?,

0,Хочу купить, но не знаю какая видео карта лучше пойдёт для игр, эта или на http://hard.rozetka.com.ua/artline_home_h43v05/p7344964, подскажите какой выбрать?,

3,На каких настройках потянет mafia 3,gta 5 и Watch Dogs 2?и при скольких fps?заранее спасибо,

0,А можно заменить видеокарту на R7 250?,

0,Вопрос к представителю Everest. Здесь GDDR 3 или 5?,

0,На каких настройках потянет Far Cry 4,Fallout 4,Ведьмак 3 ?,

0,Пойдет ли варфейс на это пк и на каких настройках?!,

5,Гта онлайн пойдет? Сколько фпс?,

0,Потянет ли ФИФА 16?,

4,запускал на данной машине grand theft auto v , благодаря сильной видеокарте игра с повышением настроек графики от минимальной к максимальной теряла 2-8 фпс . но из за не столь мощного процессора фпс не превышал 30 . Каким не сильно дорогим процессором можно проабгрейдить данную машину ?,Переваги: Хорошее соотношение цены и качества,Недоліки: Слабоватый процесор,

0,Пойдет ли гта 5 на даном агрегате и на каких настройках,

0,Потянет ли он WoT? И сколько будет ФПС? Заранее спасибо.,

0,с характеристиках есть отдельная видеокарта, а на фото только встроенная. Можете разьяснить как на самом деле?,

0,Есть ли в этой модели дисковод?,

0,Работает. Пока претензий нет.,

0,Какая ос7Семёрка или восьмая?,

0,Тут 32 или 64 бита?,

0,Battlefield 4 на каких настройках и со скольки Фпс потянет?,

0,Какие игры пойдут на средних-максимальных параметрах. War Thunder, Just Cause 2, BioShock Infinite, Serious Sam 3, Far Cry 3, Euro Truck Simulator 2, Killing Floor, Borderlands, GRID 2, The Forest, Saints Row 4, Mirror's Edge, Battlefield: Bad Company 2, Burnout Paradise: The Ultimate Box, Devil May Cry 4, Dead Island Riptide, Rust, Max Payne 3, Tomb Raider, The Elder Scrolls V: Skyrim, The Witcher 3, Outlast, Metro: Last Light,2033 Redux, Chivalry: Medieval Warfare, Mafia II, Trials Fusion, Spec Ops: The Line, Sleeping Dogs, Thief, Next Car Game, Total War: SHOGUN 2, PAYDAY 2, Tropico 5, Call of Duty: Black Ops II, Resident Evil 6, Watch_Dogs, Sniper Elite 3, Crysis 2 Maximum Edition, Arma 3?,

4,Работает уже несколько месяцев, нареканий, кроме шума, нет.,Переваги: Отличная сборка за свои деньги,Недоліки: Очень шумит. Судя по всему, плохо закреплен кулер, заставляет вибрировать весь корпус,

0,ПК брался для работы (разработка приложений и всякие эксперименты) + чтобы можно было периодически поиграть во что-то достойное, но без выкручивания макс. настроек. Вопросов и претензий нет - как к сборке, так и остальному.,

0,а в каком банке оформляют кредит?,

0,Взяли три такие машины. Две вполне рабочие под офис, с третьей проблемы. 7-ка не видит видеокарту, при обновлении с серверов MS - синий экран. Ко всему прочему почему-то не вложили гарантийный талон. Что делать ? Прошу представителей Everest срочно связаться.,

0,Здравствуйте, скажите пожалуйста, для 3д моделирования этот комп. подойдет или надо что-то по мощнее? Спасибо,

0,У меня вопрос непосредсвенно к представителю. Собираюсь покупать этот компьютер скажите в дальнейшем он подлежит модернизации? Более новую видео карту смогу поставить или оперативу добавить, проц поменять? Заранее благодарю!,

0,Скажите пожалуйста сюда можно не дискретную видео карту вставить?,

0,Очень интересует сколько fps будет в игре wot на максимальных настройках?,

0,Что никто не брал данную модель?? Если есть такие отпишитесь, как она?,

